CustomerID,Gender,MaritalStatus,YearlyIncome ,Revenue,Customer Value,OrderDate,Country,BirthDate,Age,Firstname,Lastname,,,,,
10002,F,Married,0-25000,"£3,954",Convinced seekers,6/2/2011,Australia,8/11/1957,53,KELSEY,Raje,,Table 1,,,
10003,F,Married,0-25000,"£3,954",Convinced seekers,6/12/2011,Australia,1/9/1971,40,GLORIA,Carlson,,Age ,Category,,
10004,F,Married,0-25000,"£3,954",Convinced seekers,8/14/2011,Australia,2/13/1942,69,BETHANY,Nara,,13 - 19 ,Teenager,,
10005,F,Married,0-25000,"£3,954",Convinced seekers,8/19/2011,Australia,11/17/1927,83,BETHANY,She,,20 - 34,Young Adult,,
10006,F,Married,0-25000,"£3,954",Convinced seekers,10/8/2011,Germany,11/3/1979,31,MONIQUE,Gill,,35 - 49,Adult,,
10007,F,Married,0-25000,"£3,954",Convinced seekers,11/5/2011,Germany,9/3/1935,76,LORI,Rubio,,50 - 64,Seniors,,
10008,F,Married,0-25000,"£3,954",Convinced seekers,11/16/2011,Australia,4/27/1977,34,BRANDI,Blanco,,65 and Above,Elderly,,
10009,F,Married,0-25000,"£3,954",Convinced seekers,11/22/2011,Australia,1/9/1961,50,BRANDI,Ruiz,,,,,
10010,F,Married,0-25000,"£3,729",Convinced seekers,12/31/2011,Australia,6/10/1960,51,JENNY,McDonald,,,,,
10011,F,Married,0-25000,"£3,954",Convinced seekers,1/21/2012,Australia,8/12/1968,43,CASSANDRA,Malhotra,,,,,
10012,F,Married,0-25000,"£3,729",Convinced seekers,3/23/2012,Australia,3/3/1968,44,KAYLA,Thomas,,,,,
10013,F,Married,0-25000,"£3,954",Convinced seekers,4/2/2012,Australia,4/4/1954,57,KAITLYN,Bennett,,Country,Single,Married,Total
10014,F,Married,0-25000,"£3,954",Convinced seekers,5/1/2012,Australia,6/15/1962,49,KATIE,Shan,,Australia,,,
10015,F,Married,0-25000,"£3,954",Convinced seekers,5/1/2012,Germany,3/10/1933,79,GINA,Navarro,,Germany,,,
10016,F,Married,0-25000,"£2,264",Brand seekers,6/4/2012,Australia,2/8/1976,36,LACEY,Zhang,,France,,,
10017,F,Married,0-25000,"£2,289",Brand seekers,10/25/2012,Germany,7/9/1957,55,TAYLOR,Johnson,,United Kingdom,,,
10018,F,Married,0-25000,£865,Casual buyers,11/30/2012,Northwest,1/7/1961,51,RACHAEL,Vance,,Northeast,,,
10019,F,Married,0-25000,"£2,411",Brand seekers,2/8/2013,France,1/27/1949,64,DIANE,Serrano,,Northwest,,,
10020,F,Married,0-25000,"£2,700",Convinced seekers,2/28/2013,Germany,4/28/1956,56,DANA,Torres,,Southeast,,,
10021,F,Married,0-25000,"£2,264",Brand seekers,3/6/2013,Australia,9/13/1961,51,TERESA,Dominguez,,Southwest,,,
10022,F,Married,0-25000,"£2,289",Brand seekers,3/11/2013,Australia,8/21/1961,51,PAULA,Blanco,,Grand Total,,,
10023,F,Married,0-25000,£865,Casual buyers,4/14/2013,France,7/3/1929,83,VICTORIA,Griffin,,,,,
10024,F,Married,0-25000,"£2,700",Convinced seekers,4/30/2013,Northwest,8/10/1979,33,JOANNA,Alonso,,,,,
10025,F,Married,0-25000,"£2,411",Brand seekers,5/6/2013,France,2/4/1967,46,MISTY,Chande,,,,,
10026,F,Married,0-25000,"£2,289",Brand seekers,5/24/2013,France,8/8/1962,50,JENNY,Shen,,,,,
10027,F,Married,0-25000,"£2,643",Convinced seekers,6/4/2013,Australia,3/20/1961,52,JENNY,Xu,,,,,
10028,F,Married,0-25000,£61,Casual buyers,6/30/2013,France,2/27/1960,53,BARBARA,Zhu,,,,,
10029,F,Married,0-25000,£44,Casual buyers,7/3/2013,France,1/13/1976,37,LINDA,Travers,,,,,
10030,F,Married,0-25000,£9,Casual buyers,7/4/2013,Southwest,8/22/1958,54,DAWN,Hu,,,,,
10031,F,Married,0-25000,"£2,575",Convinced seekers,7/5/2013,France,11/21/1962,50,BARBARA,Wu,,,,,
10032,F,Married,0-25000,"£2,646",Convinced seekers,7/7/2013,Australia,2/8/1954,59,JUDITH,White,,,,,
10033,F,Married,0-25000,£209,Casual buyers,7/15/2013,Australia,6/20/1946,67,KRYSTAL,Guo,,,,,
10034,F,Married,0-25000,"£2,739",Convinced seekers,7/16/2013,Australia,3/24/1968,45,BRANDI,Gutierrez,,,,,
10035,F,Married,0-25000,£10,Casual buyers,7/21/2013,United Kingdom,12/23/1956,56,ASHLEY,Foster,,,,,
10036,F,Married,0-25000,£77,Casual buyers,7/23/2013,Southwest,4/1/1978,35,ALICIA,Xu,,,,,
10037,F,Married,0-25000,"£1,935",Brand seekers,7/25/2013,Southwest,8/7/1973,39,LINDSEY,Shan,,,,,
10038,F,Married,0-25000,"£1,880",Brand seekers,8/1/2013,France,1/27/1949,64,DIANE,Serrano,,,,,
10039,F,Married,0-25000,£24,Casual buyers,8/8/2013,Northwest,2/5/1948,65,FELICIA,Munoz,,,,,
10040,F,Married,0-25000,£94,Casual buyers,8/15/2013,Northwest,9/10/1960,52,JOANNA,Sanz,,,,,
10041,F,Married,0-25000,"£2,599",Convinced seekers,8/18/2013,Southwest,4/3/1978,35,DAWN,Xu,,,,,
10042,F,Married,0-25000,"£2,673",Convinced seekers,8/19/2013,Germany,8/8/1943,70,JILL,Dominguez,,,,,
10043,F,Married,0-25000,£99,Casual buyers,8/22/2013,Australia,8/21/1952,61,LACEY,Ye,,,,,
10044,F,Married,0-25000,£87,Casual buyers,8/23/2013,Northwest,9/13/1951,61,PATRICIA,Perez,,,,,
10045,F,Married,0-25000,£3,Casual buyers,8/25/2013,Southwest,5/23/1955,58,ISABELLA,Williams,,,,,
10046,F,Married,0-25000,£8,Casual buyers,8/26/2013,Germany,8/19/1970,43,JANELLE,Suri,,,,,
10047,F,Married,0-25000,£15,Casual buyers,8/30/2013,France,2/27/1960,53,BARBARA,Zhu,,,,,
10048,F,Married,0-25000,£934,Casual buyers,9/4/2013,Australia,6/1/1974,39,FELICIA,Rubio,,,,,
10049,F,Married,0-25000,£43,Casual buyers,9/8/2013,Australia,8/4/1962,51,NICHOLE,Chander,,,,,
10050,F,Married,0-25000,£26,Casual buyers,9/9/2013,Australia,5/10/1952,61,HOLLY,Chandra,,,,,
10051,F,Married,0-25000,£8,Casual buyers,9/15/2013,France,2/27/1960,53,BARBARA,Zhu,,,,,
10052,F,Married,0-25000,"£1,978",Brand seekers,9/20/2013,Southwest,3/1/1955,58,MELODY,Harrison,,,,,
10053,F,Married,0-25000,"£2,591",Convinced seekers,9/28/2013,Australia,2/26/1920,93,ELIZABETH,Perry,,,,,
10054,F,Married,0-25000,"£3,954",Convinced seekers,6/4/2011,Australia,9/3/1943,67,KELSEY,Nath,,,,,
10055,F,Married,0-25000,"£3,954",Convinced seekers,9/11/2011,United Kingdom,9/11/1967,44,SABRINA,Suarez,,,,,
10056,F,Married,0-25000,"£3,954",Convinced seekers,11/14/2011,Germany,6/23/1970,41,LINDA,Gill,,,,,
10057,F,Married,0-25000,"£3,954",Convinced seekers,11/27/2011,Australia,3/24/1968,43,BRANDI,Gutierrez,,,,,
10058,F,Married,0-25000,"£3,954",Convinced seekers,1/1/2012,Australia,7/20/1966,45,MONICA,Perez,,,,,
10059,F,Married,0-25000,"£3,954",Convinced seekers,2/5/2012,Australia,11/15/1971,40,BRANDY,Patel,,,,,
10060,F,Married,0-25000,"£3,954",Convinced seekers,2/11/2012,Australia,5/18/1955,56,JULIE,Jai,,,,,
10061,F,Married,0-25000,"£3,954",Convinced seekers,2/17/2012,Australia,1/12/1959,53,ALICIA,Pal,,,,,
10062,F,Married,0-25000,"£3,954",Convinced seekers,3/11/2012,France,7/3/1959,52,ELIZABETH,Bradley,,,,,
10063,F,Married,0-25000,"£2,411",Brand seekers,6/5/2012,Germany,8/8/1943,68,JILL,Dominguez,,,,,
10064,F,Married,0-25000,"£2,700",Convinced seekers,6/12/2012,Northwest,11/23/1957,54,EMILY,Diaz,,,,,
10065,F,Married,0-25000,"£2,411",Brand seekers,7/14/2012,United Kingdom,7/10/1962,50,KATRINA,Xie,,,,,
10066,F,Married,0-25000,"£2,700",Convinced seekers,7/22/2012,United Kingdom,7/18/1953,59,TRACY,She,,,,,
10067,F,Married,0-25000,£865,Casual buyers,8/15/2012,Southwest,12/11/1959,52,JILLIAN,Fernandez,,,,,
10068,F,Married,0-25000,"£2,289",Brand seekers,8/28/2012,United Kingdom,1/9/1962,50,EMILY,Hall,,,,,
10069,F,Married,0-25000,£865,Casual buyers,11/2/2012,Southwest,10/26/1941,71,DIANE,Jimenez,,,,,
10070,F,Married,0-25000,"£2,289",Brand seekers,12/18/2012,Australia,10/23/1961,51,WENDY,Ramos,,,,,
10071,F,Married,0-25000,"£1,105",Casual buyers,12/21/2012,Southwest,2/19/1961,51,FELICIA,Vazquez,,,,,
10072,F,Married,0-25000,£865,Casual buyers,1/1/2013,Southwest,12/11/1962,50,PAMELA,Suri,,,,,
10073,F,Married,0-25000,"£2,411",Brand seekers,1/3/2013,United Kingdom,4/22/1967,45,DANA,Blanco,,,,,
10074,F,Married,0-25000,"£2,264",Brand seekers,1/10/2013,Australia,1/14/1960,52,TANYA,Suarez,,,,,
10075,F,Married,0-25000,"£2,264",Brand seekers,1/17/2013,Australia,8/3/1941,71,KRISTA,Munoz,,,,,
10076,F,Married,0-25000,"£2,411",Brand seekers,2/12/2013,France,4/27/1934,78,TINA,Subram,,,,,
10077,F,Married,0-25000,"£2,289",Brand seekers,4/10/2013,Australia,2/14/1968,45,CANDACE,Perez,,,,,
10078,F,Married,0-25000,"£2,700",Convinced seekers,4/29/2013,Southwest,8/22/1947,65,THERESA,Ramos,,,,,
10079,F,Married,0-25000,"£2,264",Brand seekers,5/9/2013,France,7/6/1957,55,CHLOE,Moore,,,,,
10080,F,Married,0-25000,£624,Casual buyers,7/2/2013,Northwest,2/18/1966,47,PAMELA,Fernandez,,,,,
10081,F,Married,0-25000,£651,Casual buyers,7/13/2013,Australia,11/15/1971,41,BRANDY,Patel,,,,,
10082,F,Married,0-25000,"£2,587",Convinced seekers,7/17/2013,Southwest,3/18/1949,64,BARBARA,Zhang,,,,,
10083,F,Married,0-25000,£4,Casual buyers,7/17/2013,United Kingdom,1/11/1979,34,SANDRA,Huang,,,,,
10084,F,Married,0-25000,£35,Casual buyers,7/18/2013,Australia,10/15/1964,48,TERESA,Blanco,,,,,
10085,F,Married,0-25000,"£1,381",Casual buyers,7/19/2013,Australia,3/25/1976,37,ALISHA,Tang,,,,,
10086,F,Married,0-25000,£77,Casual buyers,7/22/2013,Canada,7/18/1964,49,KRYSTAL,Cai,,,,,
10087,F,Married,0-25000,£40,Casual buyers,7/23/2013,France,2/27/1960,53,BARBARA,Zhu,,,,,
10088,F,Married,0-25000,£83,Casual buyers,7/27/2013,Northwest,5/27/1978,35,LACEY,Jai,,,,,
